,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
cob_footprint_observer,"('cob_footprint_observer', 1.0)","('cob_tactiletools', 0.9295761796367749)","('cob_hwboard', 0.9295730973376224)","('cob_cam3d_throttle', 0.9284757058920984)","('cob_monitoring', 0.9269077199788731)","('cob_frame_tracker', 0.9156420137939669)","('cob_head_axis', 0.8993031715534806)","('cob_android_settings', 0.8964811169980719)","('cob_linear_nav', 0.8623473676202504)","('cob_collision_velocity_filter', 0.8477357207777415)","('cob_android', 0.8141352848070916)","('cob_android_msgs', 0.7789016602485311)","('cob_android_resource_server', 0.7269393576560148)","('cob_control_mode_adapter', 0.7017471801316076)","('cob_environments', 0.6998280247344155)","('cob_control', 0.6814758226571924)","('cob_lookat_action', 0.6572484411308641)","('cob_hand_bridge', 0.6461491498557542)","('cob_object_detection_visualizer', 0.6320729101133742)","('cob_mapping_slam', 0.611530293201884)"
cob_docker_control,"('cob_docker_control', 1.0)","('cob_control', 0.8865074792240369)","('cob_voltage_control', 0.71465805287547)","('cob_relayboard', 0.6628682577453991)","('cob_tactiletools', 0.662867298527802)","('cob_monitoring', 0.6607084373249593)","('cob_cam3d_throttle', 0.6597347905778336)","('cob_default_robot_behavior', 0.6504657377444688)","('cob_android_settings', 0.6467467125370103)","('cob_frame_tracker', 0.6277934722717606)","('yumi_control', 0.6165399091015539)","('cob_phidgets', 0.5978400516551716)","('cob_linear_nav', 0.5852376936514212)","('cob_android', 0.5813016569021063)","('pacmod_game_control', 0.5650427528943013)","('innok_heros_control', 0.5614272539826588)","('cob_android_msgs', 0.5601665650343233)","('lyap_control', 0.5516381831044898)","('cob_omni_drive_controller', 0.5237621949941317)","('rovio_ctrl', 0.5200885790524141)"
grizzly_gazebo,"('grizzly_gazebo', 1.0)","('grizzly_simulator', 0.78289905370347)","('grizzly_msgs', 0.6246966600634433)","('warthog_gazebo', 0.5982889544424405)","('grizzly_desktop', 0.5712251878590181)","('nextage_gazebo', 0.5398100408496059)","('gazebo_ros', 0.500530381959824)","('cob_gazebo_worlds', 0.4979105779097105)","('cob_gazebo_objects', 0.4933413847279169)","('icart_mini_gazebo', 0.49138818498292913)","('r2_gazebo', 0.4885776041307687)","('gazebo_dev', 0.4748802932914604)","('velodyne_simulator', 0.46526924261851577)","('gazebo_grasp_plugin', 0.46245778644145163)","('hrpsys_gazebo_general', 0.4507261377108738)","('warthog_simulator', 0.44914774682991254)","('pr2_gazebo', 0.44039694718039946)","('segbot_gazebo', 0.42986533234356106)","('hrpsys_gazebo_msgs', 0.41696892487326986)","('slime_ros', 0.40970532622181943)"
realsense_camera,"('realsense_camera', 1.0)","('wge100_camera_firmware', 0.8038831207319368)","('h4r_thermapp_camera', 0.7718076354410353)","('camera_umd', 0.755050931722241)","('polled_camera', 0.7339147826532334)","('libuvc_camera', 0.7094997792910522)","('wfov_camera_msgs', 0.6905729905891047)","('softkinetic_camera', 0.6703616085673993)","('uvc_camera', 0.6199839807644437)","('softkinetic', 0.6061122910299542)","('prosilica_camera', 0.5887658881192824)","('camera_info_manager', 0.572971175458423)","('naoqi_sensors_py', 0.5528886342894233)","('camera1394stereo', 0.5438275853356992)","('openni_camera', 0.5358919081089508)","('astra_camera', 0.5299292701703289)","('nao_sensors', 0.5263850705764381)","('librealsense', 0.5115280369087004)","('hrpsys', 0.498971624805694)","('sick_visionary_t_driver', 0.4936490154770601)"
rqt_launchtree,"('rqt_launchtree', 1.0)","('rqt_paramedit', 0.9384046803220828)","('rqt_gauges', 0.9248546060986249)","('rqt_reconfigure', 0.9032806758176642)","('rqt_dep', 0.8849710924513626)","('rqt_logger_level', 0.8646314294164961)","('rqt_plot', 0.8630896375076271)","('rqt_wrapper', 0.8614736765282693)","('arni_rqt_overview_plugin', 0.8604685386720224)","('rqt_runtime_monitor', 0.8515516096372742)","('rqt_console', 0.8443604273461235)","('rqt_topic', 0.8259178219802764)","('airbus_plugin_rqt', 0.8247935135549012)","('rqt_py_trees', 0.7974595848259004)","('tensorflow_ros', 0.7811474307443272)","('rqt_msg', 0.7567898545473419)","('rqt_launch', 0.6934761070153013)","('rocon_gateway_graph', 0.6762219397408483)","('rqt_py_console', 0.6615287535562411)","('rqt_robot_plugins', 0.6533314306023409)"
binpicking_utils,"('binpicking_utils', 1.0)","('rwt_utils_3rdparty', 0.8293544135775467)","('binpicking_simple_utils', 0.7571516491711872)","('osg_utils', 0.696871523099101)","('gcloud_speech_utils', 0.5972156312651679)","('rocon_gateway_utils', 0.5343098476765613)","('dr_cmake', 0.5165340624105431)","('rovio', 0.5065212655052704)","('jsk_robot_utils', 0.48942663777929596)","('arni', 0.48559486433233334)","('ros_full', 0.473075937409442)","('cram_utilities', 0.4681629250618301)","('cob_vision_utils', 0.45228498292168196)","('cl_utils', 0.4363363870771022)","('jsk_pcl_ros_utils', 0.43018996153725986)","('airbus_coop', 0.42708526845820083)","('velodyne_simulator', 0.4248997247835814)","('rocon_python_utils', 0.40775851735999424)","('ecl_utilities', 0.3919423224763541)","('pr2_base', 0.3779473334257113)"
ati_ft_sensor,"('ati_ft_sensor', 1.0)","('cm_740_module', 0.9529057213351607)","('thormang3_ppc', 0.9470437851296903)","('robotis_framework', 0.9453841605785438)","('sensor_module_tutorial', 0.9422577838416)","('robotis_math', 0.9414972214642195)","('robotis_op3', 0.9369522347316188)","('rh_p12_rn', 0.9247479964239619)","('thormang3_tools', 0.9231718559183225)","('thormang3_gripper_module', 0.9177296255708345)","('dynamixel_sdk', 0.9137417436538255)","('robotis_op3_msgs', 0.8993118387755369)","('thormang3_base_module', 0.8953415722425406)","('op3_base_module', 0.891853162120118)","('robotis_op3_tools', 0.8765447370730977)","('op3_action_module', 0.8754980399228341)","('op3_kinematics_dynamics', 0.8747619676105723)","('op3_direct_control_module', 0.8670905292915969)","('op3_balance_control', 0.8663729921633444)","('robotis_op3_common', 0.8612663634286306)"
rosflight_firmware,"('rosflight_firmware', 1.0)","('rosflight_sim', 0.7073605592389695)","('uwsim_osgocean', 0.6226852678591843)","('uwsim_osgbullet', 0.6165679345620374)","('fcl', 0.590204237289246)","('libmavconn', 0.5859427627840977)","('swiftnav', 0.5625232546655357)","('uwsim_bullet', 0.557579704539549)","('libnabo', 0.5540021646073171)","('gmplot', 0.5520374774396469)","('libg2o', 0.5503990033983391)","('libsiftfast', 0.542657535419549)","('rtsprofile', 0.5381483976905301)","('tblib', 0.5334128283566498)","('mavlink', 0.528727463103433)","('libcreate', 0.5097931869066452)","('soem', 0.5071190886863348)","('split_sequence', 0.5019720669521485)","('zbar_ros', 0.4977751539750116)","('alexandria', 0.49608975274516387)"
qglv_opencv,"('qglv_opencv', 1.0)","('opencv2', 0.8301684106910218)","('opencv_apps', 0.7854553486405057)","('opencv2_doc', 0.7137633501491896)","('ecto_opencv', 0.668663902308747)","('qt_create', 0.600844820196173)","('cv_detection', 0.5612809363843261)","('qt_paramedit', 0.5338109967774652)","('gl_dependency', 0.5235761280741964)","('qwt_dependency', 0.5200407188905909)","('qt_gui_core', 0.5026917091471014)","('qt_gui', 0.4945174313303048)","('dnn_detect', 0.47458391548752576)","('rdl_cmake', 0.4607064240259058)","('cmake_nodejs_hook', 0.4437730053419535)","('qglv_gallery', 0.4397754459004708)","('rail_face_detector', 0.4291961440299352)","('anj_featurenav', 0.4157837770361563)","('rocon_remocon', 0.40405397777563223)","('rocon_qt_app_manager', 0.39559427398755354)"
thormang3_action_editor,"('thormang3_action_editor', 1.0)","('thormang3_action_module_msgs', 0.8551018423245553)","('head_action', 0.7513221833598045)","('pr2_gripper_action', 0.7232569978373561)","('thormang3_foot_step_generator', 0.6508611092550254)","('op3_action_module', 0.6463273886625908)","('pr2_head_action', 0.636108255289832)","('thormang3_walking_demo', 0.6219342130252147)","('thormang3_head_control_module_msgs', 0.6151931002211056)","('thormang3_manipulation_module_msgs', 0.6114261079737086)","('gripper_action_controller', 0.6007952650069485)","('thormang3_demo', 0.5947356406083317)","('open_cr_module', 0.5807595772155238)","('pr2_base_trajectory_action', 0.5790300338418518)","('frame_editor', 0.5723421960272657)","('pr2_tuck_arms_action', 0.5645599191857061)","('joint_trajectory_action', 0.5548213415032087)","('thormang3_sensors', 0.5506547744614194)","('thormang3_gazebo', 0.5385269711056018)","('cob_pick_place_action', 0.5210763600456856)"
rosbash,"('rosbash', 1.0)","('lkh_solver', 0.9119770411779814)","('metaruby', 0.8109783826042694)","('rosparam_handler', 0.6302923403006984)","('grasp_planning_graspit', 0.5332686546390656)","('stereo_wall_detection', 0.5260601392388851)","('libsensors_monitor', 0.5111805399786626)","('rtctree', 0.502126467722216)","('roslz4', 0.4800144175776615)","('hironx_moveit_config', 0.473299766012259)","('ethercat_grant', 0.46888802639020144)","('ros_ethercat', 0.4605704040460321)","('tele_dir', 0.45952182507806927)","('irb_6640_moveit_config', 0.4586704511073678)","('staro_moveit_config', 0.4544418186788133)","('mico_moveit_config', 0.4537017076240115)","('r2_fullbody_moveit_config', 0.44950874663928897)","('rtsprofile', 0.4449325119068863)","('ros_ethercat_eml', 0.4346899256433293)","('darknet', 0.4258035461289208)"
rqt_py_trees,"('rqt_py_trees', 1.0)","('rqt_multiplot', 0.8620167958327994)","('rqt_publisher', 0.8486850714686779)","('rqt_console', 0.8424322535693612)","('rqt_runtime_monitor', 0.8248932172627746)","('rqt_reconfigure', 0.8098357494864314)","('rqt_tf_tree', 0.8072708775426117)","('rqt_gauges', 0.803605680800457)","('tensorflow_ros_rqt', 0.8021891512865081)","('rqt_ez_publisher', 0.7934055995413208)","('rqt_py_console', 0.7810643618582988)","('arni_rqt_overview_plugin', 0.7784551867971244)","('rqt_robot_monitor', 0.7700475525202608)","('rqt_gui_py', 0.7543285060505723)","('rqt_srv', 0.72518524182337)","('rqt_pose_view', 0.7150275727958548)","('rqt_service_caller', 0.7101405455991111)","('rqt_capabilities', 0.6941143353554303)","('rqt_nav_view', 0.6739519527560148)","('tensorflow_ros', 0.6283598021459361)"
nj_oa_costmap,"('nj_oa_costmap', 1.0)","('nj_costmap', 0.8380430565179632)","('dfs_explorer', 0.7217244640513514)","('multirobot_map_merge', 0.6746807273667038)","('ndt_costmap', 0.6552856208878844)","('lama_interfaces', 0.6386507069164331)","('cost_map_demos', 0.6236961980398431)","('rail_maps', 0.6219692376221133)","('nj_escape_crossing', 0.6147368948285272)","('grid_map_filters', 0.5992807396045421)","('willow_maps', 0.5815311683763025)","('cost_map_core', 0.5760840490450609)","('grid_map_loader', 0.572641501900877)","('cost_map_cv', 0.5548823842758983)","('map_merger', 0.5501820253012162)","('grid_map_core', 0.5368442120005783)","('grid_map_ros', 0.5258321099588635)","('lj_laser', 0.5190912187268689)","('lj_laser_heading', 0.5110387924488267)","('featurenav_base', 0.5074997280228521)"
minas,"('minas', 1.0)","('puma_motor_driver', 0.7849131439683925)","('icart_mini_control', 0.5935750541890606)","('kinect_aux', 0.5605433276508572)","('innok_heros_lights', 0.5459410168810992)","('r2_control', 0.5444254313179898)","('roboteq_driver', 0.5421597755859794)","('frida_driver', 0.532189158864323)","('adi_driver', 0.5311090823856073)","('rflex', 0.5307937156062396)","('p2os_driver', 0.5264576924144841)","('ihmc_ros_control', 0.5208968879141392)","('epos_driver', 0.5199288341302765)","('kvh', 0.5156317490878745)","('schunk_svh_driver', 0.5025938085113302)","('ros_ethercat_hardware', 0.5020181649081218)","('ptu46', 0.4941284048995691)","('control_toolbox', 0.4901333252954936)","('rodi_robot', 0.48328214594170427)","('sphero_driver', 0.48129505549534635)"
rviz_python_tutorial,"('rviz_python_tutorial', 1.0)","('librviz_tutorial', 0.7043641921318508)","('ndt_rviz_visualisation', 0.6488952837436353)","('rospy_tutorials', 0.613949568662611)","('rplidar_python', 0.6109048392275997)","('python-watchdog', 0.595014769003198)","('python-aniso8601', 0.5889392784989262)","('rplidar_ros', 0.5848528959380679)","('rqt_rviz', 0.5809751080809822)","('catkin_pip', 0.5711648144721367)","('pyros_setup', 0.5663474330426765)","('openrtm_aist_python', 0.56064605088236)","('rosserial_python', 0.5559539142020465)","('rocon_python_redis', 0.5419073575106585)","('ddynamic_reconfigure_python', 0.5348872332457102)","('rviz_imu_plugin', 0.5259820042493873)","('python-ftputil', 0.5154405380573173)","('pyzmp', 0.5095873988589942)","('redis', 0.4976079386043163)","('rviz_animated_view_controller', 0.48430211465419504)"
message_relay,"('message_relay', 1.0)","('genrb', 0.9469332119084426)","('gennodejs', 0.946477099439163)","('rosmsg', 0.9326629451998448)","('genpy', 0.8486875052860781)","('rosflight_msgs', 0.8019346813186428)","('std_srvs', 0.7854871630810432)","('message_multiplexing', 0.7574902008909092)","('cob_3d_mapping_msgs', 0.7321709098485226)","('delphi_srr_msgs', 0.6944699158881731)","('mobileye_560_660_msgs', 0.6906995312581852)","('person_msgs', 0.6667045818779007)","('gmplot_msgs', 0.6588067894782564)","('fiducial_msgs', 0.6420219751435347)","('mln_robosherlock_msgs', 0.6277688159023319)","('json_prolog_msgs', 0.6185472035965389)","('nanomsg', 0.6073586291539931)","('yocs_waypoint_provider', 0.6044793540655533)","('tuw_gazebo_msgs', 0.599394813783509)","('naoqi_msgs', 0.5835573443582879)"
cob_moveit_config,"('cob_moveit_config', 1.0)","('cob_obstacle_distance_moveit', 0.79343738230988)","('clam_moveit_config', 0.7518966524281242)","('panda_moveit_config', 0.6893256707233569)","('moveit_setup_assistant', 0.6656057515081846)","('moveit_ros_planning', 0.6634186728713772)","('cob_hwboard', 0.6628210286176957)","('cob_lbr', 0.6628193760865545)","('cob_elmo_homing', 0.6614624973646313)","('pr2eus_moveit', 0.6583348217892272)","('cob_default_robot_behavior', 0.6548481258159696)","('moveit_planners', 0.6420659120909742)","('cob_head_axis', 0.6381133877686553)","('stomp_moveit', 0.6337677401299856)","('iri_wam_moveit_config', 0.6294002030198539)","('tra1_moveit_config', 0.629108297380824)","('mico_moveit_config', 0.6289525732601876)","('r2_fullbody_moveit_config', 0.6276797863516242)","('cob_frame_tracker', 0.6266204602611106)","('atlas_v3_moveit_config', 0.6243035560113674)"
segbot_gazebo,"('segbot_gazebo', 1.0)","('gazebo_ros', 0.890498516136486)","('gazebo_mimic', 0.8863818907147332)","('hrpsys_gazebo_general', 0.8649982728585799)","('nextage_gazebo', 0.8509264122292273)","('gazebo_dev', 0.8281064807088513)","('youbot_gazebo_worlds', 0.8211134412663974)","('pr2_gazebo', 0.7964802088265655)","('warthog_gazebo', 0.7774572065996703)","('cob_gazebo_objects', 0.7705335371627375)","('hector_gazebo', 0.7267014411330903)","('raspigibbon_gazebo', 0.7059483898797976)","('gazebo_msgs', 0.6929251313648602)","('katana_arm_gazebo', 0.6615751796878663)","('gazebo_state_plugins', 0.6486924215067381)","('rotors_gazebo', 0.6276623640242749)","('hector_gazebo_worlds', 0.6092357639943632)","('aubo_gazebo', 0.5948296564221693)","('turtlebot_gazebo', 0.5882761877740097)","('velodyne_gazebo_plugins', 0.583577865663747)"
op3_localization,"('op3_localization', 1.0)","('robotis_op3_msgs', 0.9778984630739848)","('robotis_utility', 0.9697235118925733)","('op3_online_walking_module', 0.9612023070136361)","('op3_base_module', 0.9540710322794843)","('robotis_framework', 0.9426068536864673)","('robotis_controller_msgs', 0.9409801193093096)","('op3_manager', 0.9375708717843906)","('op3_kinematics_dynamics', 0.9350553230972353)","('op3_direct_control_module', 0.9303067092915689)","('motion_module_tutorial', 0.9252176889910536)","('thormang3_opc', 0.922013526220558)","('ati_ft_sensor', 0.9175571353666627)","('rh_p12_rn', 0.9102550463294781)","('thormang3_mpc_sensors', 0.9050610168429734)","('thormang3_common', 0.8992639862827114)","('thormang3_tools', 0.896194930718024)","('op3_walking_module_msgs', 0.8734696192430735)","('thormang3_base_module', 0.8691901724111465)","('open_cr_module', 0.8617277922271067)"
openrtm_aist_python,"('openrtm_aist_python', 1.0)","('backports_ssl_match_hostname', 0.9229139801617298)","('rplidar_ros', 0.9058425201262447)","('certifi', 0.8966729733045358)","('geodesy', 0.8860492225170131)","('catkin_pip', 0.8760056719331939)","('pyros_setup', 0.867858373288952)","('hypothesis', 0.8648749305342195)","('bondpy', 0.856001864956574)","('pyzmp', 0.8108653200585618)","('trac_ik_python', 0.787023433000416)","('rocon_python_redis', 0.7720825191691129)","('rosserial_xbee', 0.7544083126299276)","('redis', 0.7261835199158393)","('pyros', 0.7168568409658161)","('roslz4', 0.6912496792165241)","('moveit_python', 0.6492804353681568)","('pyclearsilver', 0.636454756800067)","('ftputil', 0.624938855314094)","('rospy_message_converter', 0.59389401643266)"
libsensors_monitor,"('libsensors_monitor', 1.0)","('nerian_sp1', 0.6503180104622908)","('imu_monitor', 0.6457597347889082)","('terarangerone', 0.6346030491957838)","('um6', 0.6247640526983801)","('razor_imu_9dof', 0.6191242360111734)","('schunk_simulated_tactile_sensors', 0.6163613813839773)","('feed_the_troll', 0.6110724076318274)","('terarangerduo', 0.6084504086274855)","('roswiki_node', 0.5784888321606809)","('arni_countermeasure', 0.5627182658292388)","('imu_compass', 0.5530231420369578)","('force_torque_sensor_calib', 0.5468423354587499)","('arni_processing', 0.5288582685822865)","('teraranger_array', 0.5224656234725145)","('yocs_virtual_sensor', 0.5114915345892991)","('neo_platformctrl_mecanum', 0.5102039019423511)","('imu_pipeline', 0.493729562907802)","('darknet', 0.48854088242398186)","('uvc_camera', 0.4673390734310998)"
featurenav_base,"('featurenav_base', 1.0)","('dr_base', 0.766336229588048)","('rb1_base_purepursuit', 0.7532515648922246)","('lost_comms_recovery', 0.7349049624530634)","('move_base_to_manip', 0.6658856600871462)","('anj_featurenav', 0.610255753455526)","('stop_base', 0.5855947412862063)","('safe_teleop_base', 0.5783791306164286)","('rb1_base_description', 0.5643262973252721)","('move_base_flex', 0.5605262167269337)","('rb1_base_common', 0.5411034209072089)","('lj_costmap', 0.5287729734038641)","('elevator_move_base_pr2', 0.5159416142121573)","('nj_costmap', 0.5085304006365957)","('pr2_move_base', 0.49971076609248666)","('move_slow_and_clear', 0.4908778290882728)","('evapc_start', 0.4485669227588953)","('md49_base_controller', 0.4410245757833966)","('driver_base', 0.42301455505680274)","('lama_msgs', 0.4191295760405416)"
jaguar_navigation,"('jaguar_navigation', 1.0)","('fulanghua_navigation', 0.9859420111237398)","('roomblock_navigation', 0.9554713940506419)","('social_navigation_layers', 0.935752540913818)","('yocs_navigator', 0.8869504429395818)","('nav2_navigation', 0.81367553900453)","('grizzly_navigation', 0.8077582256138099)","('squirrel_navigation_msgs', 0.7913868076633395)","('yocs_navi_toolkit', 0.7559479548924858)","('path_navigation_msgs', 0.7458537737897873)","('mrp2_navigation', 0.713667662700075)","('pr2_navigation_apps', 0.6907400084985923)","('simple_navigation_goals_tutorial', 0.6696296716145114)","('pr2_navigation_local', 0.6591587548792984)","('nav2d_msgs', 0.6338597355345097)","('navigation_tutorials', 0.6269041804411821)","('carl_navigation', 0.5890690758839074)","('cob_navigation_local', 0.5802652259722769)","('nav2d_navigator', 0.5570475756725181)","('fetch_navigation', 0.5539540902844721)"
rosbuild,"('rosbuild', 1.0)","('nao_bringup', 0.822233398607651)","('nao_teleop', 0.8077228460779061)","('audio_play', 0.7694291944062815)","('nao_path_follower', 0.7418877303937136)","('nao_interaction', 0.7178104138175024)","('naoqi_driver', 0.7104409340479965)","('play_motion', 0.6650514819383337)","('rostopic', 0.6112677387253891)","('std_msgs', 0.587002398087358)","('humanoid_msgs', 0.5651156929317845)","('humanoid_navigation', 0.5577878557879447)","('op3_online_walking_module', 0.49033560345660065)","('op3_walking_module', 0.4868359556998234)","('humanoid_nav_msgs', 0.4653079936140936)","('robotis_utility', 0.43260091762058694)","('motion_module_tutorial', 0.40283266059385014)","('naoqi_bridge_msgs', 0.3968129158719822)","('sensor_module_tutorial', 0.3944113981553776)","('humanoid_planner_2d', 0.38747137358532724)"
sr_edc_controller_configuration,"('sr_edc_controller_configuration', 1.0)","('sr_edc_launch', 0.8166700501860463)","('sr_config', 0.7353456533884037)","('sr_movements', 0.6612686512735076)","('p2os_launch', 0.6416438576439099)","('alfred_sr_linux', 0.6286977864266664)","('sr_example', 0.6134847944293944)","('sr_robot_msgs', 0.5736426796607401)","('sr_gui_controller_tuner', 0.5617481832620282)","('sr_edc_ethercat_drivers', 0.5420325523498999)","('sr_ronex', 0.521749381484946)","('tetris_launch', 0.5015883076530256)","('sr_visualization_icons', 0.49468378422667914)","('sr_hardware_interface', 0.4857174472370547)","('sr_gui_bootloader', 0.4827885747483849)","('sr_mechanism_controllers', 0.48233212243378865)","('sr_gui_muscle_driver_bootloader', 0.4764988564160134)","('sr_description', 0.4740175535061599)","('rosbag_migration_rule', 0.45701177980217245)","('sr_gui_motor_resetter', 0.4563690115947723)"
ecl_converters_lite,"('ecl_converters_lite', 1.0)","('ecl_sigslots_lite', 0.9119822104044343)","('ecl_linear_algebra', 0.8788473905679184)","('ecl_converters', 0.8553310956521301)","('ecl_type_traits', 0.8392047180209949)","('ecl_formatters', 0.8262288130620226)","('ecl_errors', 0.8124246339891878)","('ecl_io', 0.7787236682758097)","('ecl_sigslots', 0.7667819172675966)","('ecl_time_lite', 0.7323625108701479)","('voice_text', 0.7225459384917992)","('ecl_lite', 0.6884846251212777)","('ecl_filesystem', 0.6875905216601855)","('convenience_math_functions', 0.665743114229883)","('ecl_config', 0.6571191860688498)","('ecl_navigation_apps', 0.6524008976803584)","('ecl_core_apps', 0.6184678569308459)","('ecl_threads', 0.6146654082143256)","('ecl_utilities', 0.5956660824555008)","('ecl_mpl', 0.5770889017009474)"
eus_qpoases,"('eus_qpoases', 1.0)","('eus_assimp', 0.8700196424031172)","('jsk_pr2eus', 0.759191723953553)","('jsk_robot', 0.6567116759010444)","('roseus_mongo', 0.6427972839239425)","('jsk_common', 0.5880304478279159)","('vrpn_client_ros', 0.5435959903174878)","('jsk_201504_miraikan', 0.5214816008367753)","('roslang', 0.515235766421843)","('rosserial_client', 0.5024604337907876)","('libuvc_ros', 0.4947826520901857)","('jsk_maps', 0.4812426629348613)","('jskeus', 0.47579978521078437)","('jsk_model_tools', 0.46818569752235506)","('jsk_footstep_msgs', 0.4433066474127605)","('jsk_robot_utils', 0.4378484422733231)","('rosruby', 0.4183296987742624)","('jsk_recognition', 0.41732762428447845)","('jsk_nao_startup', 0.40825103027732035)","('ros_full', 0.39781571867743526)"
rwt_config_generator,"('rwt_config_generator', 1.0)","('r2_moveit_config', 0.6606872650005103)","('atlas_moveit_config', 0.6482974264713649)","('staro_moveit_config', 0.6447275104066189)","('mico_moveit_config', 0.6430594117614166)","('hironx_moveit_config', 0.6376042368827842)","('irb_6640_moveit_config', 0.6145757429803456)","('panda_moveit_config', 0.5674041746127184)","('aubo_i5_moveit_config', 0.559352762811794)","('rwt_plot', 0.544503049231557)","('pyros_config', 0.5215181821562919)","('baxter_moveit_config', 0.5201758563969036)","('grasp_planning_graspit', 0.5091305811842232)","('pepper_moveit_config', 0.500761232359037)","('turtlebot_arm_moveit_config', 0.4995846538933081)","('fetch_moveit_config', 0.48772649985126715)","('irb_2400_moveit_config', 0.4648642655551205)","('visualization_rwt', 0.4376037833213884)","('ur10_moveit_config', 0.4285956619177623)","('metaruby', 0.42513760651042753)"
abb_irb6600_support,"('abb_irb6600_support', 1.0)","('abb_irb5400_support', 0.9984471728742567)","('abb_irb4400_support', 0.9920490102302921)","('abb_irb2400_moveit_plugins', 0.8292274290883449)","('abb_irb6640_moveit_config', 0.8110903420241288)","('abb_common', 0.7793702509707588)","('abb_moveit_plugins', 0.7106470848341624)","('irb_2400_moveit_config', 0.630567185964742)","('motoman_sia10d_support', 0.5846276960392368)","('motoman_mh5_support', 0.5788665144218462)","('xmlrpcpp', 0.41065429931404696)","('tele_dir', 0.3466567366210478)","('openrave', 0.34344681154002454)","('fanuc_m16ib_moveit_plugins', 0.341506470296119)","('yocs_velocity_smoother', 0.3400070581953656)","('fanuc_lrmate200ic_moveit_plugins', 0.3378022375581674)","('joint_limits_interface', 0.3339481696566504)","('mongodb_store', 0.3275753745856633)","('libphidgets', 0.3256931712948472)","('zeroconf_avahi_demos', 0.3241729328313937)"
combine_dr_measurements,"('combine_dr_measurements', 1.0)","('rb1_base_purepursuit', 0.5114331292104287)","('rb1_base_pad', 0.5049227724942166)","('rb1_base_2dnav', 0.4968003996523094)","('move_base_to_manip', 0.4798991299082047)","('cram_math', 0.43432357052853177)","('featurenav_base', 0.42309645318658573)","('acado', 0.41639741114953455)","('rosflight_utils', 0.39884893906169205)","('lizi_base_station', 0.3904766448002044)","('rb1_base_gazebo', 0.3823521767225335)","('cram_test_utilities', 0.37110963973209765)","('multi_jackal_base', 0.3583647375001544)","('lama_jockeys', 0.35118425815927357)","('sr_utilities', 0.3438215822557247)","('move_slow_and_clear', 0.3395928696168945)","('fake_localization', 0.3347405550341387)","('ekf_localization', 0.3332116183416348)","('canopen_chain_node', 0.3289531044221694)","('rdl_cmake', 0.3200198262109404)"
laser_proc,"('laser_proc', 1.0)","('nj_laser', 0.9856654817006251)","('libcsm', 0.9667239702770855)","('laser_scan_splitter', 0.9565364489114538)","('laser_cb_detector', 0.9519878116964348)","('polygon_matcher', 0.9483445886220007)","('laser_odometry', 0.927108707150941)","('laser_odometry_node', 0.8963364648240896)","('leg_detector', 0.8667415536903644)","('laser_odometry_core', 0.8530337081380513)","('pr2_dense_laser_snapshotter', 0.8445408906348176)","('light_scan_sim', 0.7982831422936258)","('map_laser', 0.793823496479562)","('pr2_tilt_laser_interface', 0.7562995160238077)","('pointcloud_to_laserscan', 0.7416194112864419)","('laser_geometry', 0.7390394077405373)","('laser_tilt_controller_filter', 0.73082927767606)","('scan_tools', 0.6988707277882406)","('crossing_detector', 0.6816736266712444)","('cob_scan_unifier', 0.6617773310684518)"
rospeex_if,"('rospeex_if', 1.0)","('tracetools', 0.6951904448851686)","('rospeex_samples', 0.6686974732298805)","('oxford_gps_eth', 0.6350323630847865)","('pyros_interfaces_ros', 0.6213917604607044)","('pyros_setup', 0.6113288262278257)","('pocketsphinx', 0.606009833368155)","('transmission_interface', 0.5985634875310712)","('rosserial_python', 0.5963257779180355)","('python-watchdog', 0.5928728338237148)","('wxpython_swig_interface', 0.5915387695927544)","('rospeex_webaudiomonitor', 0.5804971548529739)","('tork_rpc_util', 0.5639600800750599)","('hypothesis', 0.5542151237152513)","('openrtm_aist_python', 0.5428088599926574)","('aniso8601', 0.5395410678446872)","('swri_dbw_interface', 0.5347873991640216)","('rplidar_ros', 0.5326732443473282)","('trac_ik_python', 0.5196798207910036)","('pyzmp', 0.5129135662600149)"
rosh,"('rosh', 1.0)","('roshlaunch', 0.8440949834682564)","('rosh_desktop_plugins', 0.8150113594689572)","('rosh_desktop', 0.744451285221893)","('rosh_visualization', 0.6738983537853696)","('variant', 0.5183839315477737)","('costmap_converter', 0.4832595655214923)","('mapviz_plugins', 0.42644113719705334)","('manifest_cleaner', 0.4177204961836133)","('mavros_extras', 0.4170221123117488)","('waypoint_meta', 0.41084115332451365)","('mapviz', 0.40327786717351943)","('catkin_pip', 0.38871000785881704)","('rplidar_ros', 0.3801990931591597)","('pyros', 0.376243539524711)","('aniso8601', 0.37314519160519755)","('backports_ssl_match_hostname', 0.3672442112313258)","('rtmros_hironx', 0.36467809361370573)","('unique_id', 0.35835515317848565)","('geodesy', 0.3531986001624603)"
